央视,#genre#
CCTV1,http://116.22.146.163:6868/udp/239.77.0.129:5146
CCTV2,http://116.22.146.163:6868/udp/239.77.1.158:5146
CCTV3,http://116.22.146.163:6868/udp/239.77.0.169:5146
CCTV4,http://116.22.146.163:6868/udp/239.77.1.163:5146
CCTV5,http://116.22.146.163:6868/udp/239.77.0.170:5146
CCTV5+,http://116.22.146.163:6868/udp/239.77.0.87:5146
CCTV6,http://116.22.146.163:6868/udp/239.77.0.171:5146
CCTV7,http://116.22.146.163:6868/udp/239.77.1.159:5146
CCTV8,http://116.22.146.163:6868/udp/239.77.0.172:5146
CCTV9,http://116.22.146.163:6868/udp/239.77.1.160:5146
CCTV10,http://116.22.146.163:6868/udp/239.77.1.113:5146
CCTV11,http://116.22.146.163:6868/udp/239.77.1.238:5146
CCTV12,http://116.22.146.163:6868/udp/239.77.1.109:5146
CCTV13,http://116.22.146.163:6868/udp/239.77.0.188:5146
CCTV14,http://116.22.146.163:6868/udp/239.77.1.161:5146
CCTV15,http://116.22.146.163:6868/udp/239.77.1.239:5146
CCTV16,http://116.22.146.163:6868/udp/239.77.0.165:5146
CCTV17,http://116.22.146.163:6868/udp/239.77.1.121:5146

CCTV1,http://183.0.186.131:9900/tsfile/live/0001_1.m3u8
CCTV2,http://183.0.186.131:9900/tsfile/live/0002_1.m3u8
CCTV3,http://183.0.186.131:9900/tsfile/live/0003_1.m3u8
CCTV4,http://183.0.186.131:9900/tsfile/live/0004_1.m3u8
CCTV5,http://183.0.186.131:9900/tsfile/live/0005_1.m3u8
CCTV5+,http://113.110.231.208:4022/udp/239.77.0.87:5146
CCTV6,http://183.0.186.131:9900/tsfile/live/0006_1.m3u8
CCTV7,http://183.0.186.131:9900/tsfile/live/0007_1.m3u8
CCTV8,http://183.0.186.131:9900/tsfile/live/0008_1.m3u8
CCTV9,http://183.0.186.131:9900/tsfile/live/0009_1.m3u8
CCTV10,http://113.110.231.208:4022/udp/239.77.0.134:5146
CCTV11,http://113.110.231.208:4022/udp/239.77.1.238:5146
CCTV12,http://113.110.231.208:4022/udp/239.77.0.136:5146
CCTV13,http://113.110.231.208:4022/udp/239.253.43.196:5146
CCTV14,http://113.110.231.208:4022/udp/239.77.1.161:5146
CCTV15,http://113.110.231.208:4022/udp/239.77.1.239:5146
CCTV16,http://113.110.231.208:4022/udp/239.77.0.165:5146

CCTV1,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227479/index.m3u8
CCTV2,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227477/index.m3u8
CCTV3,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227435/index.m3u8
CCTV4,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227373/index.m3u8
CCTV5,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227491/index.m3u8
CCTV5+,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227493/index.m3u8
CCTV6,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227431/index.m3u8
CCTV7,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227429/index.m3u8
CCTV8,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227427/index.m3u8
CCTV9,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227425/index.m3u8
CCTV10,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227375/index.m3u8
CCTV11,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227922/index.m3u8
CCTV12,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227377/index.m3u8
CCTV13,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227926/index.m3u8
CCTV14,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227379/index.m3u8
CCTV15,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227933/index.m3u8
CCTV17,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227577/index.m3u8

凤凰卫视,#genre#
凤凰中文,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.m3u8

凤凰中文,http://biaozhun114.com/tv/fengshows.php?id=1
凤凰资讯,http://biaozhun114.com/tv/fengshows.php?id=2
凤凰香港,http://biaozhun114.com/tv/fengshows.php?id=3

广东,#genre#
广东体育,http://116.22.146.163:6868/udp/239.77.0.168:5146
广东经济科教,http://116.22.146.163:6868/udp/239.77.0.85:5146

广东体育,http://116.22.146.163:6868/udp/239.77.0.112:5146
广东经济科教,http://116.22.146.163:6868/udp/239.77.0.167:5146

测试,#genre#
CCTV1-HD,https://stream.freetv.fun/cctv-1-4.ctv
CCTV1-HD,https://stream.freetv.fun/cctv-1-7.m3u8
CCTV1-HD,https://stream.freetv.fun/cctv-1-10.m3u8
CCTV1-HD,https://stream.freetv.fun/cctv-1-20.m3u8
凤凰中文HD,https://stream.freetv.fun/feng-huang-zhong-wen-8.ctv
凤凰中文HD,https://stream.freetv.fun/feng-huang-zhong-wen-10.m3u8
凤凰中文HD,https://stream.freetv.fun/feng-huang-zhong-wen-2.ctv
凤凰资讯HD,https://stream.freetv.fun/feng-huang-zi-xun-5.ctv
凤凰资讯HD,https://stream.freetv.fun/feng-huang-zi-xun-10.m3u8
凤凰香港HD,https://stream.freetv.fun/feng-huang-xiang-gang-5.m3u8
无线新闻台,https://stream.freetv.fun/tvbwu-xian-xin-wen-2.ctv
